Metric,Value
total_nodes,836
total_edges,1025
num_components,53
giant_component_size,701
giant_component_ratio,0.8385167464114832
avg_clustering,0.0
edge_connectivity,0
avg_degree,2.452153110047847
density,0.0029367103114345473
timestamp,2026-08-07T04:01:33.423797
ekg_folder,C:\Users\riski\Desktop\Projects\masters\ekg\chronographer-evaluation\nt_utf8\eventkg_ng
--- REDUNDANCY METRICS ---,
redundancy.total_events,235
redundancy.exact_label_duplicates,0
redundancy.exact_duplicate_events,0
redundancy.events_with_eligible_labels,0
redundancy.sameas_duplicates,0
redundancy.sameas_duplicate_events,0
redundancy.fuzzy_duplicate_pairs,0
redundancy.fuzzy_sample_size,0
redundancy.fuzzy_threshold,0.9
redundancy.fuzzy_method,deterministic_exact_all_pairs_token_sort_ratio
redundancy.fuzzy_sampling_method,first events ordered by event IRI
redundancy.duplication_rate,
redundancy.duplication_rate_denominator,events with eligible normalized labels
redundancy.label_quality,"{'total_labels_sampled': 0, 'unique_normalized_labels': 0, 'label_uniqueness_rate': None, 'status': 'not_applicable_no_eligible_labels', 'normalization_applied': True, 'sampling_method': 'first events ordered by event IRI'}"
--- TEMPORAL METRICS ---,
temporal.date_format_validation.total_sampled,211
temporal.date_format_validation.valid_dates,211
temporal.date_format_validation.invalid_dates,0
temporal.date_format_validation.compliance_rate,100.0
temporal.date_format_validation.status,computed
temporal.date_format_validation.sampling_method,complete/small-graph IRI-ordered sample
temporal.date_format_validation.invalid_examples,[]
temporal.temporal_granularity.total_sampled,211
temporal.temporal_granularity.granularity_counts.year,0
temporal.temporal_granularity.granularity_counts.month,0
temporal.temporal_granularity.granularity_counts.day,211
temporal.temporal_granularity.granularity_counts.timestamp,0
temporal.temporal_granularity.granularity_counts.unknown,0
temporal.temporal_granularity.granularity_percentages.year,0.0
temporal.temporal_granularity.granularity_percentages.month,0.0
temporal.temporal_granularity.granularity_percentages.day,100.0
temporal.temporal_granularity.granularity_percentages.timestamp,0.0
temporal.temporal_granularity.granularity_percentages.unknown,0.0
temporal.temporal_granularity.datatype_counts.http://www.w3.org/2001/XMLSchema#date,211
temporal.temporal_granularity.classification_method,XML Schema datatype with documented lexical fallback
temporal.temporal_granularity.sampling_method,complete/small-graph IRI-ordered sample
temporal.temporal_granularity.status,computed
temporal.temporal_coverage.total_events,235
temporal.temporal_coverage.events_with_temporal_information,207
temporal.temporal_coverage.events_missing_temporal_information,28
temporal.temporal_coverage.events_with_dates,207
temporal.temporal_coverage.events_missing_dates,28
temporal.temporal_coverage.temporal_coverage_rate,88.09
temporal.temporal_coverage.status,computed
temporal.temporal_coverage.temporal_predicates,"['http://semanticweb.cs.vu.nl/2009/11/sem/hasBeginTimeStamp', 'http://semanticweb.cs.vu.nl/2009/11/sem/hasEndTimeStamp']"
temporal.temporal_coverage.counting_method,exact file scan
temporal.temporal_density.temporal_span_years,12
temporal.temporal_density.avg_events_per_decade,70.33
temporal.temporal_density.coverage_gaps,0
temporal.temporal_density.coverage_gap_definition,missing decades between observed minimum and maximum year
temporal.temporal_density.underpopulated_decades,2
temporal.temporal_density.peak_decade,1790s
temporal.temporal_density.peak_decade_count,209
temporal.temporal_density.status,computed
temporal.semantic_validation.events_sampled,207
temporal.semantic_validation.total_checked,207
temporal.semantic_validation.unparseable_events,0
temporal.semantic_validation.violations,4
temporal.semantic_validation.consistency_rate,98.07
temporal.semantic_validation.status,computed
temporal.semantic_validation.multi_value_rule,max(begin values) <= min(end values)
temporal.semantic_validation.sampling_method,complete/small-graph IRI-ordered sample
temporal.semantic_validation.violation_examples,"[{'event': 'http://dbpedia.org/resource/Battle_of_Fontenay-le-Comte', 'starts': ['1793-05-17', '1793-05-25'], 'ends': ['1793-05-17', '1793-05-25']}, {'event': 'http://dbpedia.org/resource/French_campaign_in_Egypt_and_Syria', 'starts': ['1798-07-01', '1801-09-02'], 'ends': ['1798-07-01', '1801-09-02']}, {'event': 'http://dbpedia.org/resource/French_expedition_to_Sardinia', 'starts': ['1792-12-21', '1793-05-25'], 'ends': ['1792-12-21', '1793-05-25']}, {'event': 'http://dbpedia.org/resource/War_of_the_First_Coalition', 'starts': ['1792-04-20', '1797-10-17'], 'ends': ['1792-04-20', '1797-10-17']}]"
--- SCHEMA METRICS ---,
schema.total_events,235
schema.events_with_labels,0
schema.events_with_dates,207
schema.fully_described_events,0
schema.label_coverage_rate,0.0
schema.date_coverage_rate,88.09
schema.schema_conformance_rate,0.0
schema.status,computed
schema.non_standard_properties_count,0
schema.external_vocabulary_usage.schema.org,0
schema.external_vocabulary_usage.dbpedia,212
